Tag,Item,Category,Audit Count,Current Metrc Value,Difference,Packaged Date
1A401030000AC48000015964,"Stout, Terpenes, Bulk",Extracts,481.3,482.28,0.98,1/20/2021
1A401030000AC48000015978,"Tozmoz, Gorilla Glue, CO2 Oil, Bulk",Extracts,331.58,330.9,-0.68,1/21/2021
1A401030000AC48000015979,"Tozmoz, Gorilla Glue, CO2 Oil, Bulk",Extracts,233.37,234.45,1.08,1/21/2021
1A401030000AC48000016213,"ABC1, Jack The Ripper, Live Resin",Extracts,8.35,7.46,-0.89,2/9/2021
1A401030000AC48000016459,"Tozmoz, Dream Queen, Live Resin Headsauce",Extracts,1911.11,1968.49,57.38,3/4/2021
1A401030000AC48000016526,"Tozmoz, Dream Queen, Cannabis Derived Terpenes",Concentrate,115,115.64,0.64,3/8/2021
1A401030000AC48000016854,"Tozmoz, Lemongrass, Cannabis-Derived Terpenes",Concentrate,66.44,67.34,0.9,3/29/2021
1A401030000AC48000016855,"Tozmoz, Mangolicious, Cannabis-Derived Terpenes",Concentrate,94.77,97.09,2.32,3/29/2021
1A401030000AC48000017047,"Private Stash, Green Apple, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),50,50,0,4/8/2021
1A401030000AC48000017048,"Private Stash, Watermelon, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),119,119,0,4/8/2021
1A401030000AC48000017049,"Private Stash, Green Apple, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),48,48,0,4/8/2021
1A401030000AC48000017360,"Elysium Fields, Sherbert, Full Spectrum Cannabis Oil",Extracts,66.3,92.04,25.74,4/27/2021
1A401030000AC48000017403,"Private Stash, Pineapple, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),24,24,0,4/29/2021
1A401030000AC48000017495,"Chocolate Hashberry, cannabis derived terpenes",Concentrate,622,624.36,2.36,5/3/2021
1A401030000AC48000017497,"Tozmoz, Snowland, Cannabis Derived Terpenes",Concentrate,104.6,96.85,-7.75,5/3/2021
1A401030000AC48000017661,"RXO, Purple Hindu Kush, FSCO",Concentrate,782.8,974.51,191.71,5/7/2021
1A401030000AC48000017704,"Private Stash, Mango, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),34,34,0,5/12/2021
1A401030000AC48000017709,"Private Stash, Blueberry, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),21,21,0,5/12/2021
1A401030000AC48000017739,"Oregon Green Leaf Farms, Grandaddy Primo, CO2 Oil, Bulk",Extracts,203.9,203.9,0,5/14/2021
1A401030000AC48000017886,VTA - 140 - Main,Concentrate,430.57,430.57,0,5/24/2021
1A401030000AC48000017957,VTA - 141 - Main,Concentrate,3114,3114,0,5/27/2021
1A401030000AC48000018127,"Tozmoz, Dream Queen, Live Resin Headsauce",Extracts,328.82,349.5,20.68,6/8/2021
1A401030000AC48000018132,"Tozmoz, Sticky Buns, Cannabis Derived Terpenes",Concentrate,29.63,29.63,0,6/8/2021
1A401030000AC48000018137,"Tozmoz, Sunset Sherbert, Live Resin, Headsauce",Extracts,1119.2,1169.28,50.08,6/8/2021
1A401030000AC48000018142,"Tozmoz, Gorilla Glue, Live Resin, Headsauce",Extracts,452.73,447.8,-4.93,6/8/2021
1A401030000AC48000018144,"Tozmoz, Agent Orange, Live Resin, Headsauce",Extracts,111.24,111.24,0,6/8/2021
