,Tag,Item,Category,Audit Count,Current Metrc Value,Difference,Packaged Date
49,1A401030000AC48000022355,VTA - 169 - Main,Concentrate,911,923,12,11/18/2021
50,1A401030000AC48000022370,"Tozmoz, Lemon Kush, Live Resin, Sauce & Diamonds",Extracts,1031,1037,6,11/18/2021
51,1A401030000AC48000022372,"Tozmoz, Blueberry Diesel x Triple OG, Live Resin, Sauce & Diamonds",Extracts,1578,1607,29,11/18/2021
52,1A401030000AC48000022379,"Tozmoz, 9lb Funky Town (9lb Hammer x First Class Funk), Live Resin, Badder",Extracts,258.6,264,5.4,11/18/2021
53,1A401030000AC48000022381,"Jackpot, Pink Pixie, Distillate",Concentrate,502.5,513,10.5,11/18/2021
54,1A401030000AC48000022382,"Jackpot, 9lb Hammer , Distillate",Concentrate,498.3,524,25.7,11/18/2021
55,1A401030000AC48000022385,"Jackpot, Banner , Distillate",Concentrate,493.5,519,25.5,11/18/2021
56,1A401030000AC48000022391,"Tozmoz, Chem Rush, Live Resin, Sauce & Diamonds",Extracts,1879,1895,16,11/18/2021
57,1A401030000AC48000022765,"Elysium Fields, BLACK, Sundae Driver, Full Spectrum Cannabis Oil",Extracts,858,889.9,31.9,12/1/2021
58,1A401030000AC48000022767,"Elysium Fields, BLACK, Huckleberry Diesel, Full Spectrum Cannabis Oil",Extracts,1506.5,1524.7,18.2,12/1/2021
59,1A401030000AC48000022768,"Elysium Fields, BLACK, Green Dragon, Full Spectrum Cannabis Oil",Extracts,1152.9,1183.8,30.9,12/1/2021
60,1A401030000AC48000022934,"Elysium Fields, Agent Orange, Live Resin - Sugar",Extracts,831,859,28,12/7/2021
61,1A401030000AC48000022938,"Elysium Fields, Cookie Meister, Live Resin - Sugar",Extracts,956,970,14,12/7/2021
62,1A401030000AC48000023251,"Blue Cookies, Live Resin, Badder",Extracts,425,434,9,12/16/2021
63,1A401030000AC48000023398,"Elysium Fields, Green Dragon, Live Resin - Badder",Extracts,701,708,7,12/22/2021
64,1A401030000AC48000023399,"Elysium Fields, Huckleberry Diesel, Live Resin - Sugar",Extracts,567,572,5,12/22/2021
65,1A401030000AC48000023400,"Elysium Fields, Huckleberry Diesel, Live Resin - Sugar",Extracts,693,699,6,12/22/2021
66,1A401030000AC48000023401,"Elysium Fields, Green Dragon, Live Resin - Applesauce",Extracts,861,867,6,12/22/2021
67,1A401030000AC48000023402,"Elysium Fields, Huckleberry Diesel, Live Resin - Applesauce",Extracts,783,787,4,12/22/2021
68,1A401030000AC48000023404,"Elysium Fields, Green Dragon, Live Resin - Sugar",Extracts,936,967,31,12/22/2021
69,1A401030000AC48000023406,"Elysium Fields, Sundae Driver, Live Resin - Applesauce",Extracts,1100,1104,4,12/22/2021
70,1A401030000AC48000023411,"Elysium Fields, Huckleberry Diesel, Live Resin - Diamonds & Sauce",Extracts,793,799,6,12/22/2021
71,1A4010300003E83000021985,CBN Isolate - 006,Hemp Extract,544.05,500,-44.05,7/16/2021
72,1A4010300003E83000021986,CBD Isolate - 008,Hemp Extract,120,20,-100,7/16/2021
73,1A401030000AC48000015483,"Oregon Green Leaf Farms, Primo Stout, CO2 Oil, Bulk",Extracts,513.54,503,-10.54,12/21/2020
74,1A401030000AC48000015486,"Tozmoz, Primo Stout, CO2 Oil, Bulk",Extracts,727,711,-16,12/21/2020
75,1A401030000AC48000015487,"Tozmoz, Primo Stout, CO2 Oil, Bulk",Extracts,647.98,630.82,-17.16,12/21/2020
76,1A401030000AC48000015490,"Greenway Farms, Purple Skunk Mass, Refined CO2 Oil, Bulk",Extracts,812,804,-8,12/21/2020
77,1A401030000AC48000015499,"LA Cheese, Tozmoz, Bulk CO2 Extract",Extracts,662.61,658,-4.61,12/21/2020
78,1A401030000AC48000015504,"Tozmoz, Primo G, CO2 Oil, Bulk",Extracts,357.1,345,-12.1,12/21/2020
79,1A401030000AC48000015505,"Tozmoz, Primo G, CO2 Oil, Bulk",Extracts,360.4,310,-50.4,12/21/2020
80,1A401030000AC48000017497,"Tozmoz, Snowland, Cannabis Derived Terpenes",Concentrate,104.6,96.85,-7.75,5/3/2021
81,1A401030000AC48000018142,"Tozmoz, Gorilla Glue, Live Resin, Headsauce",Extracts,452.73,447.8,-4.93,6/8/2021
82,1A401030000AC48000018350,"Tozmoz, Lemon Sour Diesel, Head Sauce",Concentrate,759.8,671.14,-88.66,6/21/2021
83,1A401030000AC48000018397,"RXO, White Slurricookies, FSCO",Concentrate,491.5,427.42,-64.08,6/24/2021
84,1A401030000AC48000018429,"Tozmoz, Lemon Sour Diesel, Live Resin",Extracts,2501.4,2485.7,-15.7,6/25/2021
85,1A401030000AC48000019282,"Tozmoz, Dream Queen/Wappa, Cannabis Derived Terpenes",Concentrate,125.2,121.91,-3.29,8/4/2021
86,1A401030000AC48000022243,"Tozmoz, Double O Cookies (Agent Orange x Orange Cookies ), Live Resin, Sauce & Diamonds",Extracts,439.5,436,-3.5,11/16/2021
87,1A401030000AC48000022300,"Tozmoz, Sunset Sherbert, THCA",Extracts,214,137,-77,11/17/2021
88,1A401030000AC48000022371,"Tozmoz, Lemon Apricot, Live Resin, Sauce & Diamonds",Extracts,841,818,-23,11/18/2021
89,1A401030000AC48000022422,"Tozmoz, Lemon Wookie, Cannabis Derived Terpenes",Concentrate,52.6,49.4,-3.2,11/19/2021
90,1A401030000AC48000022654,"Elysium Fields, Boss Sherbert, Full Spectrum Cannabis Oil",Extracts,479.6,439.86,-39.74,11/29/2021
91,1A401030000AC48000022657,"Elysium Fields, Jager, Full Spectrum Cannabis Oil",Extracts,1073.9,994,-79.9,11/29/2021
92,1A401030000AC48000022804,"Tozmoz, Sundae Driver, Cannabis Derived Terpenes",Concentrate,111,57.3,-53.7,12/2/2021
93,1A401030000AC48000023020,"Tozmoz, Lemon Sour Diesel, THCA",Extracts,830.25,820,-10.25,12/9/2021
94,1A401030000AC48000023252,"Sunset Dream, Live Resin, Applesauce",Extracts,2635.6,2598,-37.6,12/16/2021
95,1A401030000AC48000023629,"Elysium Fields, Oregon Mac, Infused Pre-Roll",Infused Pre-Roll,1278,1272,-6,1/3/2022
